5,clean_text,sentiment,compound,pos,neg,neu
"O relógio é horrível, não vale o preço, decepção total.",relógio horrível vale preço decepção total,Negativo,-0.7453,0.0,0.544,0.456
Estou pesquisando opiniões sobre a experiência de compra antes de comprar.,estou pesquisando opiniões sobre experiência compra antes comprar,Neutro,0.0429,0.042,0.0,0.958
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.7078,0.0,0.491,0.509
"Atendimento horrível, ninguém resolve nada.",atendimento horrível ninguém resolve nada,Negativo,-0.6236,0.0,0.593,0.407
"Adorei a qualidade da marca, muito acima da expectativa!",adorei qualidade marca acima expectativa,Positivo,0.5118,0.363,0.0,0.637
"Nunca mais compro dessa marca, cobraram duas vezes no cartão.",nunca compro dessa marca cobraram duas vezes cartão,Negativo,-0.751,0.0,0.571,0.429
"Que compra ruim, o celular veio quebrado.",compra ruim celular veio quebrado,Negativo,-0.8256,0.0,0.716,0.284
"A embalagem impecável, virei cliente fiel dessa marca.",embalagem impecável virei cliente fiel dessa marca,Positivo,0.5198,0.392,0.0,0.608
"Comprei a bolsa ontem, ainda vou testar.",comprei bolsa ontem ainda vou testar,Neutro,0.0324,0.031,0.0,0.969
"Comprei o celular ontem, ainda vou testar.",comprei celular ontem ainda vou testar,Neutro,0.0097,0.007,0.0,0.993
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.5466,0.335,0.0,0.665
"Nunca mais compro dessa marca, o produto quebrou em uma semana.",nunca compro dessa marca produto quebrou semana,Negativo,-0.7533,0.0,0.532,0.468
"A loja fica aberta até as 22h, segundo o site.",loja fica aberta até segundo site,Neutro,-0.0186,0.0,0.016,0.984
"Adorei a qualidade da marca, muito acima da expectativa!",adorei qualidade marca acima expectativa,Positivo,0.7089,0.617,0.0,0.383
"Adorei o atendimento da marca, muito rápido e eficiente!",adorei atendimento marca rápido eficiente,Positivo,0.6722,0.59,0.0,0.41
Estou pesquisando opiniões sobre a entrega antes de comprar.,estou pesquisando opiniões sobre entrega antes comprar,Neutro,0.0317,0.029,0.0,0.971
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.8085,0.633,0.0,0.367
"A blusa tem cor azul e branca, conforme o anúncio.",blusa cor azul branca conforme anúncio,Neutro,-0.0298,0.0,0.026,0.974
"Terrível, simplesmente terrível essa experiência.",terrível simplesmente terrível experiência,Negativo,-0.8711,0.0,0.556,0.444
"Péssimo o atendimento, não recomendo.",péssimo atendimento recomendo,Negativo,-0.4077,0.0,0.265,0.735
"O site horrível, ninguém respondeu meus e-mails.",site horrível ninguém respondeu emails,Negativo,-0.6622,0.0,0.58,0.42
"Produto de baixa qualidade, dinheiro jogado fora.",produto baixa qualidade dinheiro jogado fora,Negativo,-0.641,0.0,0.562,0.438
Qual a diferença entre o celular e o modelo anterior?,diferença entre celular modelo anterior,Neutro,0.0304,0.022,0.0,0.978
O perfume chegou no prazo previsto.,perfume chegou prazo previsto,Neutro,0.0123,0.009,0.0,0.991
A blusa chegou no prazo previsto.,blusa chegou prazo previsto,Neutro,0.0106,0.009,0.0,0.991
"Adorei o app da marca, muito acima da expectativa!",adorei app marca acima expectativa,Positivo,0.5863,0.439,0.0,0.561
"Suporte não responde, estou muito insatisfeito.",suporte responde estou insatisfeito,Negativo,-0.8662,0.0,0.704,0.296
"Equipe super atencioso, super recomendo essa marca!",equipe super atencioso super recomendo marca,Positivo,0.5009,0.459,0.0,0.541
Alguém sabe informar o prazo de entrega de o livro?,alguém sabe informar prazo entrega livro,Neutro,-0.0448,0.0,0.037,0.963
"A compra é maravilhoso, adorei demais!",compra maravilhoso adorei demais,Positivo,0.5466,0.371,0.0,0.629
Alguém sabe informar o prazo de entrega de a bolsa?,alguém sabe informar prazo entrega bolsa,Neutro,-0.0089,0.0,0.008,0.992
"Comprei o perfume ontem, ainda vou testar.",comprei perfume ontem ainda vou testar,Neutro,-0.009,0.0,0.006,0.994
"Atendimento nota 10, resolveram meu problema rapidinho.",atendimento nota resolveram problema rapidinho,Positivo,0.8849,0.724,0.0,0.276
"Recebi o brinquedo, embalagem estava ok.",recebi brinquedo embalagem estava,Neutro,-0.0423,0.0,0.038,0.962
Fui até a loja física para trocar o brinquedo.,fui até loja física trocar brinquedo,Neutro,0.0149,0.012,0.0,0.988
Alguém sabe informar o prazo de entrega de o eletrodoméstico?,alguém sabe informar prazo entrega eletrodoméstico,Neutro,-0.0149,0.0,0.013,0.987
"Muito ruim o suporte, experiência péssima.",ruim suporte experiência péssima,Negativo,-0.7867,0.0,0.552,0.448
"Que compra ruim, a bicicleta veio quebrado.",compra ruim bicicleta veio quebrado,Negativo,-0.5719,0.0,0.457,0.543
Qual a diferença entre a bicicleta e o modelo anterior?,diferença entre bicicleta modelo anterior,Neutro,0.0446,0.044,0.0,0.956
